age,income,tenure_months,transactions_last_30d,amount_last_30d,days_since_last_purchase,is_active_app_user,support_tickets_last_90d,discount_rate_mean,segment_code,target_purchase_next_30d
68,55801.247238720636,118,0,0.0,88,0,0,0.0992774324522291,0,0
39,59017.32867492594,102,0,0.0,171,0,0,0.19809983955140978,1,0
34,57585.75472346388,55,2,107.85174206447104,47,0,1,0.19705158509224274,1,1
65,34125.16206713395,45,4,42.09375766840054,133,1,1,0.2040683077349512,1,0
37,36966.79319939195,89,4,242.59472614169852,150,1,0,0.032826908339345325,4,0
21,45864.9818505398,117,1,52.029546251005556,168,0,1,0.29571316764928035,0,0
42,64360.74226218805,53,3,82.32905207483246,101,1,0,0.08329379296624786,4,0
59,53496.451080369254,104,1,14.116398943828024,107,1,0,0.20914287959643266,2,1
27,46898.97669965164,1,4,152.41483890772253,83,1,0,0.2728006848031211,2,0
42,70582.99701673,75,1,34.003641265625134,156,1,0,0.11815046459264036,3,0
24,20263.55358781841,78,1,40.758360084933756,31,1,1,0.07759938568239383,0,0
53,30562.698047584407,51,0,0.0,169,0,0,0.09759413786758948,2,0
42,15000.0,50,4,80.09409684462781,91,0,0,0.09291202684341579,0,0
35,68124.65757365095,18,1,28.598922571841605,55,1,0,0.02066624957882743,2,0
29,48549.107831404304,32,3,100.36235585704688,98,0,2,0.09326539459630258,1,0
47,64494.376680391884,79,0,0.0,4,0,0,0.25439353071998716,0,0
52,48361.12500451437,24,0,0.0,78,0,0,0.2494462045530054,2,1
66,65347.75502790441,35,3,184.5506165182535,30,1,0,0.2536917185980532,4,0
40,48098.71525738899,58,1,27.07711416267719,101,0,0,0.03405693259769795,4,0
26,56148.67137646829,13,0,0.0,94,0,1,0.17328726829615596,2,0
61,53952.70236216903,107,2,126.88907133252546,3,1,0,0.08088573825457539,3,0
50,55065.6093483195,109,3,102.00710736880583,90,0,0,0.2658073059430885,3,0
54,75271.0583031176,41,1,60.14894121788169,88,1,1,0.05017997432898845,3,0
23,25633.632301389942,34,1,29.262423646290237,179,1,0,0.08222872628773517,2,0
34,48974.24966190916,68,3,260.3537587391163,51,1,1,0.14429318574771324,0,1
57,52969.80821267044,106,0,0.0,32,0,0,0.29884609455843675,4,0
61,50724.30521045474,7,3,104.25498605208068,158,0,0,0.14487093291575523,1,0
40,44031.72169169916,5,2,107.9173008321654,176,0,1,0.0798948633474575,3,0
59,41979.25573384685,86,3,106.51797708315462,73,1,0,0.21553878345505406,0,0
61,72950.21983116369,84,0,0.0,41,0,0,0.06479492247608454,1,0
38,48939.1836717355,94,2,10.0,143,0,2,0.2025266685952916,0,0
64,86569.1980084606,72,2,10.0,171,1,1,0.11619624044922029,4,0
32,57924.12479562273,45,4,312.0758788215805,127,1,0,0.2297534554599294,0,0
30,45655.166513364726,6,1,12.941427215191148,74,1,0,0.07652845076226017,0,0
53,58290.182606969516,53,3,145.7178548900858,8,0,1,0.029252491156374794,0,0
51,51633.9930565657,13,1,15.439809539596755,179,0,1,0.01508598083469893,1,0
25,70129.98900409085,9,7,316.57858180581877,88,1,0,0.2752638648064724,1,0
61,32484.16520914278,69,0,0.0,81,1,0,0.18478076031046517,2,0
28,22982.210248781314,110,4,170.08463614483705,9,0,0,0.012625737742881659,1,0
59,55414.71515724997,90,0,0.0,63,1,0,0.07636402706476626,4,0
18,62535.4384709141,66,2,84.443865128462,114,0,1,0.08993792966544925,4,0
59,54288.58174426895,24,0,0.0,177,0,0,0.022713915078996727,4,0
58,60087.12768453637,17,1,35.43141758214261,95,0,0,0.2195684191140778,0,0
58,57881.552940803784,12,2,82.84856599263924,171,0,0,0.20084858443535433,3,0
52,27793.99707005494,89,1,32.14933385175622,89,1,1,0.2299549338727617,0,1
42,54218.59555709775,99,1,33.91386424447919,168,1,0,0.12615216318745573,1,0
54,69751.70995357147,93,6,180.49284650683944,81,1,2,0.24256815131763007,4,0
32,52576.50432216971,2,2,62.37678214618164,159,0,0,0.25781203687999654,0,0
58,30350.627075677778,24,3,171.64397780002048,54,1,0,0.027044340181278926,1,0
46,44992.143228577275,57,1,71.30544173965059,10,1,0,0.2347553499777825,1,0
41,58351.350945698425,54,3,125.90759817171259,148,1,0,0.15253343476330142,1,1
44,76934.45424197079,16,1,13.585271497959546,121,0,0,0.22748897587784517,3,0
47,20654.808782340886,53,1,38.159086437717235,36,0,0,0.2054506104332797,1,0
19,55418.481786532175,70,5,143.49457597862258,15,1,0,0.03499864211402918,1,0
25,36016.88665054822,45,4,56.952298860252256,13,0,1,0.28567175435527253,3,0
30,57615.90644508126,64,2,111.15679279635157,131,0,0,0.02022386567941641,0,0
23,58817.468884678136,103,2,68.5424154091701,114,0,0,0.18489509581216185,3,0
40,46502.79175055906,20,2,48.31250698233685,117,1,1,0.29366322859594696,1,0
52,59473.98803436951,85,1,78.26753845833005,140,1,0,0.2850689395144462,1,0
52,67098.43574726323,91,1,15.922351522046164,11,1,1,0.2044575613555454,1,1
42,47531.424418646675,106,3,116.58313838083049,81,0,0,0.2874261144662501,4,0
62,29942.595992525254,31,4,306.47379697828916,98,1,0,0.14951725893333642,2,0
47,71383.59231616609,64,1,44.78476296901877,137,0,0,0.035048104200630044,1,0
22,62430.42288561466,52,3,167.861414773928,74,0,0,0.04875896147461547,4,0
57,58456.34647468463,97,2,33.172282583279525,175,1,0,0.17766301550009933,0,0
47,39635.50026321871,21,5,396.2205215255151,160,0,0,0.18557829254476074,1,0
51,64781.53811441169,29,2,78.06227683525272,94,1,0,0.03314577806627742,0,0
47,80636.38464932656,34,0,0.0,121,0,0,0.1719830357602588,2,0
46,48180.34504626866,34,2,104.88326911106313,163,0,0,0.12527845331270884,0,0
22,51417.390496857675,101,1,48.77591934893184,84,0,0,0.20019015612772303,2,0
47,34022.140194554435,59,3,42.09622054588502,29,1,0,0.12899724056446907,2,0
59,39206.8699767366,83,0,0.0,171,0,0,0.2178336985649197,1,0
33,33881.4592042555,59,1,11.21675846683393,107,1,0,0.18165845469456027,4,0
49,51962.33794844826,91,0,0.0,116,1,0,0.0221971546198356,4,0
19,44888.31570912711,6,4,247.4540527623821,39,0,0,0.2994951087052819,1,0
36,55592.00384994001,28,2,56.15258528916413,85,1,0,0.23139465245073915,4,0
40,36621.48743888725,70,3,198.035542301359,143,1,0,0.26588914835060345,3,0
69,47486.65175351282,32,1,36.70204668460124,160,1,1,0.07751162744187265,0,0
29,35696.95662436825,2,0,0.0,102,1,0,0.15850879792915407,2,0
32,52813.57366546699,91,3,57.55952051187725,119,1,0,0.13211630259823307,3,0
39,25515.135500802495,23,3,222.44070587567418,73,1,0,0.06574980503545458,2,0
69,52273.674614821844,103,1,55.903774388431074,15,1,0,0.22300651493126597,2,0
62,45819.04581820243,38,1,31.02227348511911,70,1,0,0.23431333949442046,4,0
19,52714.461333837346,63,3,106.48721504757441,127,0,0,0.19871119982128813,4,0
30,25215.999901131236,100,1,5.0,155,0,0,0.051390295893763524,1,0
60,59820.73510903251,41,4,150.7578271633885,116,0,0,0.1150223586594985,4,0
21,45518.85661109639,24,3,219.66777883109972,8,1,0,0.2653813732043372,0,0
62,53256.69073042789,50,2,70.02485892284353,123,1,1,0.006379290695662032,1,0
32,21948.886083841822,47,2,106.84560573629369,1,0,0,0.030305202004236295,3,0
65,31359.000856490973,72,4,236.01855650226915,137,0,0,0.13962414311619326,1,0
33,44147.68758332389,77,1,46.40822963118263,164,0,0,0.08001233633610173,0,0
40,70632.50207765214,115,2,105.53323115951075,153,1,0,0.05684686347196827,1,0
52,57909.07022645142,18,1,66.69248226983666,103,1,1,0.08480832835929952,1,0
24,51948.12562085655,24,2,10.0,5,0,0,0.17534572635872553,2,0
46,36135.37751077099,9,3,254.65326679337156,51,0,0,0.027250132272774362,0,0
44,33406.02575601892,10,3,136.69657392391454,132,0,0,0.12615077855519957,4,0
58,54149.827864481966,1,1,37.75178326588399,162,1,0,0.09407931848213864,0,0
69,60510.33947281139,43,1,44.613564886471224,57,1,0,0.0652794752716804,2,0
52,53134.611522005114,115,3,83.74420077689362,48,0,1,0.14740581692488675,4,0
39,75643.35812131595,6,1,72.31151535537842,174,1,1,0.17339220104303849,4,0
39,39763.074151457135,5,2,113.31808208146353,105,0,0,0.1433666037314764,1,0
39,52690.549111624205,40,2,95.39977118270792,15,1,1,0.08374230349648536,3,0
60,24602.37913845647,78,0,0.0,34,1,1,0.09060810760323003,1,1
34,53165.68281000848,79,2,42.075464578935076,71,1,0,0.18472352976584971,2,0
26,72040.59820032945,1,0,0.0,110,1,1,0.004058119752842614,0,0
35,34377.36676082204,3,2,95.38398726759256,146,1,0,0.18956170859424576,3,0
19,62631.97312943089,99,4,268.4441504068662,59,0,1,0.15201818175867685,4,0
23,71615.5961954825,97,1,25.06030495482691,173,1,0,0.245529431933703,3,0
22,39654.30837752778,80,1,40.21252243059441,31,1,2,0.20388267735289337,3,0
58,57004.09541117021,18,1,46.655512466226824,117,0,0,0.0003497248459831903,0,0
55,73694.47617212914,117,3,180.8437972069446,19,0,0,0.013723353122097336,4,1
54,53457.12743419314,88,2,94.35577192214159,78,0,0,0.003662573668019664,2,0
42,61800.72496267451,112,0,0.0,60,0,0,0.22398134589481664,2,0
55,23390.75960872989,74,1,63.09261874807854,157,0,0,0.24160610687143927,2,0
26,58957.04790158585,115,1,64.76167815349578,33,1,0,0.22553814634363106,1,0
64,57758.56610779497,14,4,205.30841227521447,111,0,0,0.18459115612461705,2,0
44,30106.81901058812,10,1,18.881075889415495,24,0,0,0.17795827332170883,2,0
66,35535.07019044674,115,3,176.8621530737667,139,0,0,0.06523301004754352,1,0
25,59060.02703297252,70,2,85.10027080490718,10,1,0,0.11113097514922152,2,0
43,45459.321435245394,73,6,396.68179837015555,97,1,0,0.22917585985882366,4,1
54,66679.07583453959,89,1,67.35382907828514,157,1,0,0.018617162246732776,0,0
43,54660.90395758172,111,0,0.0,44,1,0,0.21856105638433537,4,1
41,50846.8334981341,15,1,7.608545665729757,53,0,0,0.15809297715667325,1,1
26,47443.264501654834,32,3,172.7377677848703,62,1,1,0.09441115166244902,2,0
37,54390.23197901771,25,2,95.378752170664,81,0,0,0.0567884733602316,4,1
30,62043.985587742296,32,1,19.226138601041857,148,1,0,0.04839948218619666,1,0
33,58007.76039531457,49,1,66.43274026884785,162,0,0,0.2644900468406521,4,0
53,43654.87009386526,68,2,39.2076892232445,163,0,1,0.1295530110329206,1,0
50,68591.55578810406,102,2,57.84580501623202,43,0,1,0.2329521345840178,3,0
49,59865.413591928496,28,1,41.982206473206716,136,0,0,0.18850506582861956,0,0
36,55778.508374602876,98,0,0.0,35,1,0,0.06937288327291741,0,0
67,51375.45766118494,69,1,56.271295505237305,8,0,0,0.17331238390978537,0,1
22,57500.743465077,98,1,22.208095970082958,88,0,0,0.06777644403195557,2,0
35,22524.81590412372,96,0,0.0,114,0,1,0.10859534801807852,0,0
24,53619.639115718535,33,1,20.342607774144934,31,1,1,0.18123624984835365,4,0
35,74602.74394349084,93,3,173.19241205894764,172,0,0,0.20256618567397278,4,0
68,53299.800300566996,92,2,49.65394030604874,145,1,1,0.03075805943663814,0,0
37,51252.15978060458,67,1,76.71861010444289,99,0,0,0.2778799014204225,4,0
65,41061.73541791392,12,2,10.0,65,0,0,0.25311512590721014,4,0
43,57390.90920325443,114,4,94.05665118482158,101,1,1,0.20358082528585061,0,0
54,47073.88388992777,113,3,211.26043988567818,43,0,0,0.25893902188437234,1,0
41,69639.49673585883,41,1,43.64452295907196,75,1,0,0.12385903264651943,3,0
31,37045.70462978765,60,0,0.0,15,0,0,0.18861661309511532,4,0
57,43215.425985994494,51,1,33.624293703036976,40,1,0,0.2080605491267149,3,0
68,40986.82914641583,86,1,5.0,19,1,1,0.2926869717867103,4,0
31,77518.68633067132,38,1,70.54600199064629,34,1,0,0.2515866453860651,0,0
58,47153.51507581395,116,5,124.90782496512213,128,1,0,0.030620350832209042,0,1
31,41778.8380569288,11,1,44.86802117224887,147,1,0,0.05631628883058598,2,0
55,18641.081818180326,50,2,12.710905848972857,74,1,1,0.16002722809332676,2,0
59,36329.420216959625,55,0,0.0,67,0,0,0.2727614819333737,0,0
41,57918.27415088906,37,3,148.61176759547823,31,1,0,0.14457864597492592,3,0
56,57858.13612387006,57,1,44.9053023235803,140,1,1,0.046233293720196786,3,0
32,40231.951513196575,38,1,32.445450904141275,48,0,0,0.24480726649863324,3,0
22,41065.16150550371,43,2,68.52325526674646,46,1,0,0.1260353399786199,3,0
23,77898.06602096996,12,2,193.42483634310292,101,0,2,0.14780197268669337,3,0
41,90445.69643832717,48,0,0.0,28,1,0,0.18458386996452095,4,1
64,67246.58885177756,81,1,50.75760333894639,116,1,0,0.03364778795687362,0,0
24,73389.19830942038,110,4,111.43478308281937,25,1,0,0.20512988060157367,1,0
41,76571.37894678178,119,3,181.94597059239885,125,1,0,0.029823966042256386,1,0
54,83218.57324857076,94,3,97.47145768578834,98,1,0,0.20431913784688854,3,0
28,45471.082093889716,104,1,52.54138276206822,134,0,0,0.23008482575316613,3,0
55,36825.98055889995,42,3,162.21797787825068,179,0,0,0.19639820872491484,2,0
33,77502.34674707356,116,2,119.74367594754492,156,1,0,0.2008258384140361,3,0
60,35535.589730875225,104,4,316.6572667661393,176,0,0,0.24632094814524938,0,0
48,34571.05858668151,26,0,0.0,121,0,1,0.06417742874357459,1,0
46,34915.47973607777,87,6,244.3990670942963,81,1,0,0.23665817655572757,2,1
27,48029.054933521045,9,5,199.88407617160706,78,0,0,0.10940351493049373,2,0
42,20234.361928228893,39,1,57.59346330975527,174,0,0,0.005422969184233883,0,0
62,28503.35864660092,33,2,98.08081875354765,86,1,0,0.23668108671588012,4,0
19,40664.91809249989,94,0,0.0,93,1,0,0.23598746221685754,4,0
57,32061.12029262399,73,3,134.6733423847736,129,0,0,0.008908784773530897,0,0
43,65936.17721036889,37,3,146.27193529624853,48,0,0,0.06663014493035037,0,1
55,50099.72302276475,88,0,0.0,33,0,0,0.11471454417491371,4,1
52,58655.328814041706,12,2,117.11729514644011,6,0,1,0.13267588634884583,3,0
40,57012.952689409045,94,4,173.53649766220633,73,1,0,0.27244160193983963,0,0
34,46898.403653504225,104,5,269.74735521652974,94,1,0,0.14905583491066327,1,1
50,64821.97287840004,6,0,0.0,129,1,0,0.11692209691401644,3,0
25,56782.21827774408,89,4,229.0686167044955,59,1,0,0.009617578322051833,2,0
48,45223.99590316777,73,2,74.70840776093017,119,0,0,0.24783514156707204,1,0
22,24741.352083290254,28,2,99.28838668183694,54,1,0,0.04459174541029395,1,0
51,57809.8758860269,32,3,15.0,86,0,1,0.06248267996003443,2,1
50,31080.449329611496,26,1,21.336742169130563,39,0,0,0.06679591477668434,4,0
22,55704.2468838628,32,7,84.89015993859971,114,0,1,0.15405260985417896,3,0
57,51183.32838009346,40,3,106.35654136164277,154,0,0,0.2844321037315032,3,0
39,29594.462239402998,94,3,82.75473182966707,6,0,0,0.023139519424735164,3,0
58,53875.95561552226,34,3,58.11345132768194,144,1,1,0.09169005475322418,0,0
20,52869.79155395712,107,1,66.92717882248675,148,0,0,0.24901486726623603,4,0
27,52924.212520926376,65,3,100.1146972767705,21,0,0,0.08132145445029014,1,0
43,52204.95375933048,72,1,62.15315061360144,44,0,0,0.11327947105172963,3,0
27,40214.17720815289,108,2,182.21329184879784,178,0,0,0.20191607144432183,1,0
35,58874.13701150535,3,2,77.03623814836766,57,1,0,0.08319951204440416,4,0
52,39685.16308570007,50,0,0.0,87,0,0,0.10920871769555307,3,0
25,33881.136289876114,39,1,36.996011830160455,34,0,0,0.0013628577566961008,1,0
53,60119.50556497151,96,1,52.72197911317325,94,1,1,0.11983933703559178,3,0
23,64046.45901336211,112,5,222.57085470789391,178,0,0,0.10682508285238392,4,0
27,59092.97149921648,115,1,64.00650912626597,49,0,0,0.18996473720889376,0,1
48,46892.07707806339,74,1,53.5132193267629,111,1,0,0.2530810980823119,4,1
59,20908.014441245505,34,0,0.0,144,1,0,0.09050502931215053,4,0
26,72225.35256330465,100,1,34.707335766358185,175,1,0,0.2938205520079226,4,1
33,20673.53838817048,69,3,176.85441219438778,124,1,0,0.21083710731727737,0,1
66,58790.92090128323,57,4,227.19076169908735,84,1,0,0.1281996218051015,2,0
69,81653.55276708686,54,2,121.96643666927626,86,1,0,0.17227215798036605,0,0
48,52241.99671914657,54,0,0.0,85,1,0,0.15850311188910676,1,0
41,54368.495668976975,104,2,102.67271971735259,99,1,0,0.24790738819185498,4,0
36,55689.81424420251,66,0,0.0,58,1,0,0.2469186895532256,0,0
49,52972.51009489977,106,1,62.081360148055616,156,0,0,0.07083681441807724,2,0
48,85259.20225910764,101,2,85.28666863455973,167,1,0,0.09491851248323484,4,0
33,37352.52720907125,33,3,153.89728875903268,118,1,0,0.040824175122324,1,0
19,35469.100300803504,113,0,0.0,69,1,0,0.16577976960160073,0,0
25,45087.48399760717,41,3,160.3930280982327,158,0,0,0.09935889448736941,4,0
67,76112.47388872263,64,3,148.53613462916405,175,0,0,0.14428853594216828,4,0
39,41346.850865321496,112,1,55.24939902394916,47,1,0,0.11558891972599487,4,1
43,56454.473776861945,114,4,68.13902041388936,143,1,0,0.22221203355201127,1,0
42,66065.12811872973,18,3,121.62275515829074,16,1,0,0.04478496990880286,0,0
58,61684.75429887668,94,2,10.912356507592222,108,1,0,0.1631183127064768,3,0
21,65271.10762344548,63,2,46.722654493451856,178,1,0,0.04524081784565528,0,0
22,71269.79553866189,93,3,34.90009617482728,82,1,0,0.08740212729710486,4,1
32,54623.4756453789,104,2,77.28279680003743,82,1,1,0.09033896783497276,3,0
43,43144.26652517397,113,2,64.7808678155489,130,0,0,0.2427348068720562,3,1
52,52208.28335840741,13,1,46.36277855984808,51,0,0,0.24237609063915797,0,0
43,44914.1980830585,17,2,143.11611885968466,119,1,1,0.22149294683627568,0,0
40,87823.27972563598,80,2,123.12115936326097,156,0,1,0.24632948268642052,2,0
66,42010.15020573075,6,2,156.31586288839452,128,1,0,0.29027407825449253,2,0
26,57247.11506719461,74,3,98.52380596093867,161,0,0,0.18864576575197767,2,0
47,27487.016012950382,15,7,266.3313233256261,133,1,0,0.27311776444844565,4,0
46,51992.275896821186,85,3,78.68949387228699,55,0,0,0.2651736043224829,0,0
42,45693.44216853084,68,0,0.0,58,0,0,0.2660529380741768,4,0
59,60135.28078766643,110,3,129.64294259505243,5,0,1,0.07617700974279008,3,0
31,60526.29553046994,103,2,142.30619006462112,11,0,1,0.16558258036545248,0,0
67,71254.97708439988,38,0,0.0,145,1,0,0.18614105140847245,0,0
35,70063.54001222482,7,2,66.46520264991467,134,1,0,0.0018949763369675242,1,0
46,49005.426068149536,69,2,180.58590383801229,111,1,0,0.09931649503381419,0,0
45,35834.20786246421,61,0,0.0,59,0,0,0.29660147310060603,3,0
62,37593.40475565981,50,0,0.0,83,0,0,0.05156027524069255,1,0
40,54541.069640329704,75,8,738.0539903723052,126,1,0,0.18023311601203137,2,0
32,52366.79170080644,83,0,0.0,90,1,0,0.031411931799213,0,0
19,53868.89886171928,73,2,92.92790472852897,60,1,0,0.26735305264134174,3,0
36,41973.34540495278,114,2,24.998901099198562,142,0,0,0.09586435918004386,0,0
60,71558.5614696804,35,4,96.90089876113676,10,0,0,0.2981301744039474,0,0
18,27909.74266520171,62,3,64.25737392218588,67,0,0,0.04444506589009615,4,1
64,41143.022275234136,29,1,62.155395899384786,96,1,1,0.06392614592849162,3,1
46,33843.393370537,81,4,86.48623536118077,6,0,0,0.1075255638113825,1,0
25,46865.40215485026,3,2,55.09389157459211,32,1,0,0.026118120734147987,3,0
33,68698.49614096936,74,2,52.13025828339883,15,1,0,0.08558592459757859,0,0
46,45683.691452761734,19,3,145.58023225879447,27,0,0,0.0525396678641753,3,0
34,51522.16003660888,1,1,67.22857234621972,31,0,0,0.27770612853061727,2,0
23,59963.64284637855,2,2,48.00879572801736,28,0,1,0.21778160497997898,0,0
52,44970.25462952858,78,3,106.61174591226603,78,1,0,0.15709705649240605,2,1
52,55739.414963918665,59,2,123.70757105084485,72,0,0,0.04078774972938036,2,0
24,53761.33627748058,69,1,28.265598370392077,169,0,0,0.10039743112546558,4,0
32,33037.86029050907,79,2,76.33330022638174,124,0,1,0.10710354343279148,3,0
30,43035.26908172687,21,2,50.11729864856795,50,1,0,0.11742452853973975,2,0
52,55318.784196151144,73,2,86.67574672588043,15,0,0,0.27566065234038817,0,0
55,69232.88038485928,56,4,95.77975571435061,108,1,0,0.038566316547133925,4,0
55,69218.90438387266,86,1,48.068224993688446,109,0,0,0.07991045718683708,0,0
66,81432.30545649992,60,0,0.0,58,1,0,0.2971258174451779,1,0
57,57281.857339316906,10,5,163.450148277057,159,0,0,0.15587633444273255,4,0
34,43800.281679734406,18,1,63.542987036160845,26,0,1,0.14296637380726684,2,0
23,49040.715021825126,68,2,172.42302547344525,44,1,0,0.2579419328549086,1,0
49,48293.52772554586,2,1,46.54381221709428,3,0,1,0.13256042403497975,1,0
65,43881.796801462326,25,1,38.09787771780547,116,1,0,0.05130745614221003,1,0
68,55744.330151932394,110,0,0.0,134,0,0,0.23052028701474656,2,1
29,56442.3274492122,77,3,138.21677359131883,105,1,1,0.21865483709865702,0,0
30,32393.63754586257,99,1,40.46709275938753,90,1,2,0.2876376238811991,0,0
19,66322.5507166194,97,3,65.00830032574515,167,0,0,0.07233490986172751,1,0
25,22447.945923883417,96,3,95.23130459505214,22,1,0,0.19407364062692303,2,0
46,46662.770706144394,76,1,57.97695182452115,53,1,1,0.2047611314143998,4,0
46,67239.7290958429,66,3,117.66895508751044,17,1,0,0.26285482624969836,1,1
37,59110.87140197483,48,4,245.1411804264292,99,0,1,0.21119205971085894,1,0
34,44645.39261034417,81,2,146.8779100702755,74,0,0,0.09751992764035271,0,0
61,79532.35270176474,46,1,9.17277625991374,159,0,0,0.2888201400207973,3,0
41,43398.89746540734,77,2,162.77999872532067,84,1,0,0.20226084709953066,4,0
60,19970.73546427579,67,0,0.0,51,0,0,0.14729883262399462,4,1
68,56791.09532516652,38,2,40.115454416930376,118,0,0,0.1210786645964668,1,0
34,23322.296668349063,107,0,0.0,171,0,0,0.2823545072463342,1,0
28,37528.27207337794,112,2,79.51079719295404,139,0,0,0.2067633895002747,3,0
67,59341.253975938875,79,4,163.4215652998,128,0,0,0.0718474680303996,3,0
51,43087.135011523234,46,1,60.08960179115027,68,0,2,0.16192396285075605,0,0
33,58709.14261629421,12,4,161.2170770491169,4,0,0,0.037985092441753666,4,0
50,32628.510020904898,88,3,189.67982603632288,0,0,0,0.23972268246443337,4,0
